co_uf,co_ies,co_curso,grupo_ies,no_curso,curso_agrupado_fgv,escola_fgv,sigla_ies,praca_fgv
53,22,122,UNB,Ciências Econômicas,ECONOMIA,,UNB,DF
35,378,122966,UNICAMP,Gestão De Empresas,ADMINISTRAÇÃO,,UNICAMP,SP
33,12683,123280,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
35,1389,1257771,FAAP,Jornalismo,COMUNICAÇÃO,,FAAP,SP
35,2766,1257771,FAAP,Jornalismo,COMUNICAÇÃO,,FA-FAAP,SP
33,6292,12698,UFF,Ciências Econômicas,ECONOMIA,,UFF,RJ
33,6292,12699,UFF,Direito,DIREITO,,UFF,RJ
33,6292,12701,UFF,Administração,ADMINISTRAÇÃO,,UFF,RJ
33,3432,12723,UFF,Administração,ADMINISTRAÇÃO,,UFF,RJ
33,6292,12724,UFF,Administração,ADMINISTRAÇÃO,,UFF,RJ
53,22,128,UNB,Relações Internacionais,RI,,UNB,DF
53,4020,1282866,UNICEUB,Administração,ADMINISTRAÇÃO,,UNICEUB,DF
35,5724,1284614,ESPM,Ciências Sociais,CIÊNCIAS SOCIAIS,,ESPM,SP
53,76916,1287993,MACKENZIE,Administração,ADMINISTRAÇÃO,,MACKENZIE,DF
53,77280,1288370,FGV,Administração Pública,ADM PÚBLICA,EPPG,FGV,DF
35,605,1292746,USP,Administração,ADMINISTRAÇÃO,,USP,SP
35,540,1297373,UNICAMP,Administração,ADMINISTRAÇÃO,,UNICAMP,SP
35,540,1297385,UNICAMP,Administração Pública,ADM PÚBLICA,,UNICAMP,SP
53,3618,1319173,UNICEUB,Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,,UNICEUB,DF
33,6918,1324163,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
33,4923,1330027,UERJ,Relações Internacionais,RI,,UERJ,RJ
33,4576,1342617,UFF,Jornalismo,COMUNICAÇÃO,,UFF,RJ
53,1206,1349773,UNICEUB,Comunicação Social - Jornalismo,COMUNICAÇÃO,,UNICEUB,DF
53,2412,1349773,UNICEUB,Jornalismo,COMUNICAÇÃO,,UNICEUB,DF
35,14790,1364851,IBMEC,Administração,ADMINISTRAÇÃO,,IBMEC SP,SP
35,14790,1365143,IBMEC,Ciências Econômicas,ECONOMIA,,IBMEC SP,SP
35,109760,1369527,FGV,Relações Internacionais,RI,RI,FGV,SP
35,385,1379376,USP,Economia Empresarial E Controladoria Com Habilitação Em Economia,ECONOMIA,,USP,SP
53,96145,1385294,MACKENZIE,Direito,DIREITO,,MACKENZIE,DF
35,12325,1404670,IBMEC,Relações Internacionais,RI,,IBMEC SP,SP
53,402,1405052,UNICEUB,Administração,ADMINISTRAÇÃO,,UNICEUB,DF
33,1172,14357,UFRJ,Comunicação Social,COMUNICAÇÃO,,UFRJ,RJ
